43.12,52.55,38.17
46.45,53.67,38.15
44.89,53.30,38.44
46.39,52.07,38.56
47.36,55.28,38.53
47.70,55.49,38.99
45.06,55.95,39.19
44.43,55.86,40.14
45.26,53.35,40.44
44.72,51.98,39.37
47.03,52.23,38.41
43.16,52.53,38.81
38.86,50.57,39.86
